3023, LOGIN, 3/20/2020 11:15:08 PM
11, LOGIN, 3/20/2020 11:15:18 PM
3023, LOGIN, 3/20/2020 11:16:49 PM
3023, LOGOUT, 3/20/2020 11:16:51 PM
21, LOGIN, 3/21/2020 1:23:02 AM
4066, LOGIN, 3/21/2020 10:47:54 PM
11, LOGIN, 3/21/2020 10:52:47 PM
11, LOGOUT, 3/21/2020 10:52:51 PM
4066, LOGIN, 3/21/2020 10:52:56 PM
3023, LOGIN, 3/21/2020 10:56:17 PM
3023, LOGOUT, 3/21/2020 10:56:24 PM
13, LOGIN, 3/21/2020 10:56:36 PM
13, LOGOUT, 3/21/2020 10:56:40 PM
11, LOGIN, 3/21/2020 10:56:45 PM
4065, LOGIN, 3/21/2020 11:00:24 PM
4066, LOGIN, 3/21/2020 11:32:10 PM
4066, LOGIN, 3/21/2020 11:34:52 PM
4066, LOGIN, 3/21/2020 11:36:54 PM
4066, LOGIN, 3/21/2020 11:46:16 PM
4066, LOGIN, 3/21/2020 11:49:45 PM
4066, LOGIN, 3/21/2020 11:53:07 PM
4066, LOGIN, 3/21/2020 11:59:07 PM
4066, LOGIN, 3/22/2020 12:02:01 AM
4066, LOGIN, 3/22/2020 12:04:20 AM
4066, LOGIN, 3/22/2020 12:04:24 AM
4066, LOGIN, 3/22/2020 12:09:25 AM
4066, LOGOUT, 3/22/2020 12:09:54 AM
4066, LOGIN, 3/22/2020 12:10:01 AM
4066, LOGOUT, 3/22/2020 12:10:23 AM
4066, LOGIN, 3/22/2020 12:10:29 AM
4066, LOGOUT, 3/22/2020 12:10:53 AM
4066, LOGIN, 3/22/2020 12:44:27 AM
4066, LOGIN, 3/22/2020 12:44:31 AM
4066, LOGOUT, 3/22/2020 12:45:38 AM
4066, LOGIN, 3/22/2020 12:45:44 AM
4065, LOGIN, 3/22/2020 12:52:17 AM
4065, LOGOUT, 3/22/2020 12:53:11 AM
11, LOGIN, 3/22/2020 12:53:16 AM
4066, LOGIN, 3/22/2020 12:59:48 AM
4066, LOGOUT, 3/22/2020 1:02:08 AM
21, LOGIN, 3/22/2020 1:02:19 AM
21, LOGOUT, 3/22/2020 1:03:36 AM
11, LOGIN, 3/22/2020 1:14:00 AM
11, LOGOUT, 3/22/2020 1:21:03 AM
11, LOGIN, 3/22/2020 1:21:13 AM
11, LOGOUT, 3/22/2020 1:29:40 AM
12, LOGIN, 3/22/2020 1:29:45 AM
12, LOGOUT, 3/22/2020 1:30:43 AM
11, LOGIN, 3/22/2020 1:30:49 AM
11, LOGOUT, 3/22/2020 1:33:07 AM
21, LOGIN, 3/22/2020 1:33:12 AM
21, LOGOUT, 3/22/2020 1:35:11 AM
11, LOGIN, 3/22/2020 1:35:18 AM
11, LOGOUT, 3/22/2020 1:36:57 AM
21, LOGIN, 3/22/2020 1:46:38 AM
21, LOGOUT, 3/22/2020 1:51:08 AM
11, LOGIN, 3/22/2020 1:51:12 AM
11, LOGOUT, 3/22/2020 1:51:42 AM
3021, LOGIN, 3/22/2020 1:52:02 AM
3021, LOGOUT, 3/22/2020 1:52:38 AM
11, LOGIN, 3/22/2020 1:52:50 AM
11, LOGOUT, 3/22/2020 1:53:16 AM
3021, LOGIN, 3/22/2020 1:53:23 AM
3021, LOGOUT, 3/22/2020 1:54:10 AM
11, LOGIN, 3/22/2020 1:54:14 AM
3021, LOGIN, 3/22/2020 1:55:18 AM
4066, LOGIN, 3/22/2020 2:01:54 AM
4066, LOGIN, 3/22/2020 2:01:58 AM
4066, LOGOUT, 3/22/2020 2:03:13 AM
11, LOGIN, 3/22/2020 2:03:18 AM
11, LOGOUT, 3/22/2020 2:05:58 AM
11, LOGIN, 3/22/2020 2:06:46 AM
11, LOGIN, 3/22/2020 2:08:32 AM
11, LOGOUT, 3/22/2020 2:11:19 AM
11, LOGIN, 3/22/2020 2:11:50 AM
11, LOGOUT, 3/22/2020 2:12:47 AM
21, LOGIN, 3/22/2020 2:12:55 AM
11, LOGIN, 3/22/2020 9:19:09 PM
11, LOGIN, 3/22/2020 9:26:12 PM
11, LOGIN, 3/22/2020 9:26:15 PM
